placement_id,location_id,job_family,supervisory_organisation_id,placement_supervisor_id,placement_supervisor_name,length_in_days,week_index,placement_format_id,company_name,school_year_min,school_year_max
0380305,0000002,Brands & Marketing,0641740,0289708,Sarah George,5,3,2,Lloyds Banking Group,12,13
0058795,0000004,Wealth Banking,0042869,0821332,Nicole Haynes,2,52,2,Lloyds Banking Group,13,13
0063591,0000008,Software Engineering,0972924,0411072,David Lambert,5,34,2,Lloyds Banking Group,13,13
0435445,0000003,Relationship Management Motor,0264970,0858269,Christopher Gould,2,36,2,Lloyds Banking Group,10,10
0089290,0000007,Customer Banking,0828692,0643898,Angela Hoffman MD,3,18,2,Lloyds Banking Group,11,11
0021105,0000008,Risk Modelling & Analytics,0335323,0249274,Christopher Tucker,3,9,2,Lloyds Banking Group,11,11
0217196,0000001,Business Intelligence & Analytics,0246203,0140494,Dr. Melissa Torres,4,6,2,Lloyds Banking Group,10,10
0320537,0000007,Communications,0752725,0151906,Frank Lynch,2,6,3,Lloyds Banking Group,13,13
0073105,0000002,Legal,0804570,0864836,Barbara Obrien,2,43,2,Lloyds Banking Group,13,13
0062758,0000004,Cyber Security,0920207,0578896,Whitney Valenzuela,2,48,2,Lloyds Banking Group,10,11
0630302,0000002,Property Maintenance,0208911,0155106,Tina Nguyen,2,2,2,Lloyds Banking Group,10,11
0090341,0000002,Brands & Marketing,0969436,0428575,Amy Carter,3,44,1,Lloyds Banking Group,12,13
0121457,0000006,Regulated Insurance,0685008,0401538,Alan Robinson,2,43,2,Lloyds Banking Group,13,13
0845048,0000004,Cyber Security,0399554,0855250,Ashley Williamson,2,39,2,Lloyds Banking Group,12,12
0013754,0000004,Legal,0608992,0051755,Dale James,2,3,2,Lloyds Banking Group,10,10
0832647,0000002,Finance,0793143,0982465,James Gutierrez MD,5,33,2,Lloyds Banking Group,10,11
0033807,0000003,"Resilience, Security & Intelligence",0706239,0671301,Mitchell Baker,5,43,2,Lloyds Banking Group,10,10
0529407,0000007,Markets Sales Public,0188887,0491910,Emily Morrison,2,24,2,Lloyds Banking Group,10,11
0744015,0000002,Investment Customer Services,0739211,0157794,Jeffery Andrade,5,1,2,Lloyds Banking Group,12,13
0260716,0000005,Transaction Banking Origination,0565082,0686504,Jade May,5,6,2,Lloyds Banking Group,12,12
0535947,0000003,Security Engineering,0002644,0361064,Gordon Benjamin,4,15,1,Lloyds Banking Group,13,13
0686133,0000002,Client Development,0128787,0077253,Chad Walton,5,38,1,Lloyds Banking Group,12,13
0367639,0000003,Quality Engineering,0141073,0563099,Thomas Wong,3,39,2,Lloyds Banking Group,11,11
0995945,0000004,Quality Engineering,0779434,0536407,Laura Delgado,3,37,3,Lloyds Banking Group,12,12
0812328,0000008,Risk & Control,0489947,0330832,Thomas Mason,5,24,2,Lloyds Banking Group,13,13
0801141,0000007,Service Engineering,0144007,0141092,Michele Carlson,2,3,2,Lloyds Banking Group,11,11
0692758,0000005,Technology Service Support,0699919,0007851,Sandra Price,4,52,2,Lloyds Banking Group,11,11
0248198,0000001,Communications,0728648,0089624,Kimberly Pierce,3,49,2,Lloyds Banking Group,13,13
0219546,0000007,Portfolio Analytics,0049550,0157703,Karen Daniels,2,31,2,Lloyds Banking Group,10,10
0602736,0000001,Technology,0459541,0040324,Daniel Wilson,5,27,2,Lloyds Banking Group,11,11
0520899,0000006,Human Resources,0582932,0762795,Michelle Wolfe,5,44,1,Lloyds Banking Group,10,10
0259961,0000006,Commercial Client Products,0291442,0406596,Christopher Becker,3,15,2,Lloyds Banking Group,10,10
0583007,0000002,Business Intelligence & Analytics,0624918,0657086,Jennifer Jackson,4,14,2,Lloyds Banking Group,12,13
0792008,0000004,Mortgages,0498024,0902731,Brandy Greer,4,36,2,Lloyds Banking Group,13,13
0776213,0000008,Wealth Banking,0406858,0898464,Lori Clark,5,24,2,Lloyds Banking Group,13,13
0022985,0000004,Supplier Management,0996620,0152626,Jill Wilson,5,24,2,Lloyds Banking Group,12,12
0686543,0000001,Risk Modelling & Analytics,0598474,0856250,Whitney Castillo,4,13,2,Lloyds Banking Group,12,12
0812244,0000007,Human Resources,0029373,0776228,Daniel Reeves,5,47,2,Lloyds Banking Group,13,13
0555831,0000006,Data Management & Ethics,0481695,0474364,Brianna Cohen,3,35,2,Lloyds Banking Group,13,13
0534284,0000006,Economic Crime Prevention,0852938,0687573,Maureen Sparks,3,15,2,Lloyds Banking Group,12,12
0034271,0000007,Wealth Banking,0733930,0863989,Scott Alvarez,3,42,2,Lloyds Banking Group,12,13
0559923,0000003,Finance,0882850,0854662,Jason King,3,41,2,Lloyds Banking Group,13,13
0992423,0000006,Market Risk,0641428,0231451,Diane Summers,3,16,2,Lloyds Banking Group,12,13
0320984,0000002,"Resilience, Security & Intelligence",0488406,0234506,Jennifer Castillo,5,4,2,Lloyds Banking Group,13,13
0374931,0000001,Commercial Client Products,0958824,0162384,Mark Sawyer,5,19,2,Lloyds Banking Group,13,13
0491655,0000004,Technology Service Support,0251540,0512986,Kim Powell,2,7,1,Lloyds Banking Group,12,13
0966141,0000007,Service Engineering,0393479,0902869,Amy Carr,4,6,3,Lloyds Banking Group,10,10
0691389,0000003,Technology Service Management,0507383,0653135,Sandra Clark,5,16,3,Lloyds Banking Group,12,12
0412177,0000003,Wealth Banking,0425970,0181775,Keith Clark,4,23,2,Lloyds Banking Group,12,13
0228149,0000008,Commercial Client Products,0201451,0157703,Karen Daniels,2,41,3,Lloyds Banking Group,13,13
0414812,0000006,Market Risk,0493853,0655931,Leah Brown,2,31,2,Lloyds Banking Group,11,11
0638107,0000003,Investment Customer Services,0747945,0824008,Brian Harrison,4,40,2,Lloyds Banking Group,11,11
0239852,0000001,Client Development,0978592,0071256,Aaron Bass,3,1,2,Lloyds Banking Group,12,12
0266228,0000008,"Resilience, Security & Intelligence",0435352,0364411,Harry Shields,5,49,1,Lloyds Banking Group,10,11
0390515,0000006,Customer Banking,0329062,0289040,Ricky Jackson,5,14,3,Lloyds Banking Group,12,13
0143069,0000003,Transaction Banking Origination,0475887,0927599,Stephen Little,3,25,2,Lloyds Banking Group,11,11
0911726,0000007,Portfolio Analytics,0524433,0950815,Erin White,3,20,2,Lloyds Banking Group,13,13
0439307,0000004,Markets Sales Public,0286596,0374969,Corey Trevino,2,22,2,Lloyds Banking Group,12,13
